sample_id,iteration,seed,Percentage of burned trees
0,0,42973003380432819513961020964782783120,0.026
0,1,182575392186958618488915196108113154127,0.025
0,2,169116740180807354153582138736575031832,0.032
0,3,185008039460380811162502213713971129832,0.0175
0,4,180348482065120707720012561925713502597,0.039
0,5,155063468017198408742939734632858785962,0.031
0,6,18635077840833978284030225456250047922,0.032
0,7,188168212846672381315844971814217368211,0.0315
0,8,286824629533578250962334827216511692058,0.027
0,9,66653319150761970337101339963256899273,0.0315
0,10,148830409251649029623988239062837193502,0.0345
0,11,272462503864964441414080192457513931129,0.0475
0,12,284855291304949849622859092010476554982,0.0415
0,13,156621996254310841829040204313306138276,0.0165
0,14,191622774455796510182472202397613529244,0.0285
0,15,265343412020888770497313763664145411257,0.0385
0,16,11520916193071933785584692408918102142,0.0305
0,17,54684434896847802560472470959745876893,0.028
0,18,196571032199984105690022271809812696531,0.029
0,19,265724271940288933253462317779267053425,0.035
0,20,150586185769414415699864065693079566282,0.028
0,21,170781410717091541919590979140142935684,0.0245
0,22,295518380840397406389500340719593495093,0.0185
0,23,327554214341412808970477251927183457420,0.0335
0,24,75934563475236120800277374984919127139,0.0375
0,25,288098123660055215022146956165292889883,0.03
0,26,153235905160052321503266393233721924546,0.04
0,27,221968629100770168141395500662392912890,0.029
0,28,200419897396956393610927006128891512739,0.0215
0,29,126643382085763244579485199476115885510,0.023
0,30,55519061212746451600772803387415786148,0.0295
0,31,90028870308690310806125331815086212488,0.022
0,32,123361408423171868781369782876231588821,0.0235
0,33,86642512748350718846771350965844154488,0.0305
0,34,178380654515072059524572464297993913093,0.0365
0,35,306821648975383579966083792597330116324,0.0325
0,36,172697679457712244117584249797540161205,0.0285
0,37,182617511556741590724440378454029892676,0.026
0,38,284183488499184569845478591158917810534,0.041
0,39,193552448471275460025913948887226789070,0.0465
1,0,60408862808548076488047299203567639105,0.027608797379503978
1,1,210152575372130478085161343420263244095,0.029948525970987367
1,2,172561086935970709553518165079692068514,0.029948525970987367
1,3,9313841260894787130622677707910496584,0.03275620028076743
1,4,265849741623058311863312281729977550738,0.0397753860552176
1,5,230337489933462377934203676642033143103,0.029480580252690687
1,6,76804493959254336859889998405486318576,0.028544688816097334
1,7,106219337814244212383418671937615650559,0.02901263453439401
1,8,236437978872014607723463533700085213734,0.026204960224613945
1,9,114770651724390456773896740042094793631,0.03462798315395414
1,10,7719326393318809895876229814612815759,0.040243331773514274
1,11,38457826202172370074762885155685700203,0.029480580252690687
1,12,246604637588029701027529978590405756884,0.0271408516612073
1,13,268460498212459103104623118389503832445,0.03837154890032756
1,14,240524589712343715200616049183980520395,0.030416471689284044
1,15,45953985916840282113831716756602717018,0.037903603182030884
1,16,21843878775327981327792845082079738942,0.02526906878802059
1,17,107812204681052815047394745824649294380,0.03837154890032756
1,18,140424399546704859777067011949599539182,0.024333177351427236
1,19,5601002325359508037682415374061896238,0.028544688816097334
1,20,41875559193646004882874533760244767832,0.034160037435657466
1,21,65630119968262542429181706639596081482,0.044922788956481045
