sample_id,iteration,seed,Tiempo de simulacion
0,0,266980825004615187643864986388889317810,5072
0,1,178725301815642772327185229407348363705,1660
0,2,313446272042849552588061848100451991135,1112
0,3,75641564110538869944850554007789325,764
0,4,81497281986222739359535488559062281504,2328
1,0,322915745088420856815180410577997324388,3378
1,1,316912415944846818339479386617418774327,8686
1,2,46277615604280346696986820163195593451,1406
1,3,123138436346513505265387984605841560601,1462
1,4,203368185767239448347967822177845352044,7216
2,0,219984611413222628591299762984209058644,1240
2,1,197813201400799723167208113613476511844,1150
2,2,22258934407872144455846085308370249047,2226
2,3,61687538726871876721022249627426981591,1844
2,4,218816952990225933369982816728718607920,4792
3,0,75919364964231091601182503058516059439,2904
3,1,211084822619168602658691605032298387256,2066
3,2,146072194227044543525181103988540377723,4352
3,3,106450402861882706645982441605158788947,2698
3,4,303256156238138822030662264644534028379,2132
4,0,102598833671458078527528220543940514413,2114
4,1,29172752338171807510329608121685914063,1394
4,2,4519590148091211241479359338641483037,1572
4,3,212551292234546038948086068692440663369,1938
4,4,289779285313887764956505303872442595049,1758
