sample_id,iteration,seed,Total share infected,Peak share infected
0,0,82819413471162206334743774064815426533,0.2909090909090909,0.11818181818181818
0,1,196244997428739632463892228289960458846,0.3090909090909091,0.12727272727272726
0,2,339814932837769286802631006603634315682,0.5272727272727272,0.17272727272727273
0,3,75235689957493704529788319253102408948,0.3,0.15454545454545454
0,4,103190377696719473430403674213828720753,0.41818181818181815,0.14545454545454545
0,5,210915198974577010005048808841083081468,0.35454545454545455,0.11818181818181818
0,6,76131151823908040329334772732498295251,0.4090909090909091,0.12727272727272726
0,7,95492080539200911913378821652816852479,0.2909090909090909,0.15454545454545454
0,8,229283094327198860380636699906374622814,0.2909090909090909,0.11818181818181818
0,9,339024892971733701189259688469034998838,0.42727272727272725,0.16363636363636364
1,0,38072177778787775458824796702683804788,0.41511500547645125,0.14457831325301204
1,1,131283992138325530520505767836484991748,0.3548740416210296,0.12595837897042717
1,2,185598704132012316132669874740828560153,0.3537787513691128,0.13143483023001096
1,3,40828295249549485143031397807060150603,0.3899233296823658,0.15005476451259583
1,4,139026621905397392938308038643408350531,0.3877327491785323,0.13472070098576122
1,5,64757924606638230016482171946093544091,0.3910186199342826,0.1303395399780942
1,6,80104904339707453107744833663881922434,0.3515881708652793,0.14129244249726178
1,7,159101724129561979957328562738832033237,0.4348302300109529,0.15005476451259583
1,8,125988666797284996743006914266990257303,0.380065717415115,0.1380065717415115
1,9,204200451063006297179513877012350645901,0.4414019715224535,0.14786418400876233
2,0,150303140007142932810766930335696189952,0.7454545454545455,0.2909090909090909
2,1,96210299585147038292179075785178058630,0.6090909090909091,0.20909090909090908
2,2,31514194148798647092139722616688290006,0.5181818181818182,0.2636363636363636
2,3,257093177003521084148842283041396343259,0.8454545454545455,0.3181818181818182
2,4,222260872041286837133574033714811217710,0.6454545454545455,0.23636363636363636
2,5,177413269056355556694126391117654535691,0.7,0.23636363636363636
2,6,182082963150680324072838297098828437682,0.7454545454545455,0.2545454545454545
2,7,285871185717861646043893093624735338894,0.7636363636363637,0.24545454545454545
2,8,334202747080238952879672256834383132961,0.8727272727272727,0.2545454545454545
2,9,300194845241500497665034519096151462278,0.7,0.2545454545454545
3,0,6837273595560422306318779404890948732,0.2727272727272727,0.12727272727272726
3,1,207496395251447063873831406585868544326,0.19090909090909092,0.1
3,2,90245693447581318025844821359445102593,0.2636363636363636,0.1
3,3,159813862133030326778739608269460192017,0.2545454545454545,0.1
3,4,315718290646283561889226714422726949473,0.2727272727272727,0.10909090909090909
3,5,275682242705241479559274743148008343085,0.16363636363636364,0.1
3,6,136063796533377260178611804815209494083,0.2636363636363636,0.1
3,7,147856889375521433624047914356874210330,0.2545454545454545,0.1
3,8,338039475544082058218899037630059817633,0.24545454545454545,0.1
3,9,101417582848091966675274625511598560279,0.21818181818181817,0.1
4,0,335457889773548997163598502547980833935,0.33636363636363636,0.14545454545454545
4,1,220626227154232967154825434468323088840,0.23636363636363636,0.12727272727272726
4,2,173819446532195094821728816149279200732,0.45454545454545453,0.16363636363636364
4,3,52258405196191208258270166570645622310,0.34545454545454546,0.15454545454545454
4,4,20309213537805882396828293145004237784,0.4818181818181818,0.14545454545454545
4,5,302456221103285399133225913002402789397,0.6363636363636364,0.2818181818181818
4,6,11681109945661875580745214667183867819,0.37272727272727274,0.14545454545454545
4,7,119328040051209968715603247477668451191,0.34545454545454546,0.16363636363636364
4,8,302727438884440921845277660189361418768,0.5,0.18181818181818182
4,9,293434225747783162243632962795809685995,0.3090909090909091,0.13636363636363635
5,0,25681467719505938048081093475700335678,0.4764512595837897,0.12376779846659365
5,1,71193996929502330692287459005293030566,0.515881708652793,0.14457831325301204
5,2,85398967068319355465490152299256509998,0.5169769989047097,0.12157721796276014
5,3,212675278034802995848432857855934366947,0.5596933187294633,0.1303395399780942
5,4,119271468499321988416864902608426414621,0.5629791894852135,0.13910186199342825
5,5,259289062186819441189932341305718568054,0.44468784227820374,0.13362541073384446
5,6,280663347757174828580187496004733946818,0.524644030668127,0.1380065717415115
5,7,34070141900202153475872030771470724850,0.43811610076670315,0.12814895947426067
5,8,71901184699386411662477479765918961100,0.49616648411829134,0.14129244249726178
5,9,272293012630347378831635282387758585711,0.5662650602409639,0.1456736035049288
6,0,195675270814823067936515774686541024688,0.7486631016042781,0.15151515151515152
6,1,674864824349303675178733357099913997,0.8146167557932263,0.1800356506238859
6,2,21442301843206372224524915133234441178,0.6684491978609626,0.1711229946524064
6,3,128300837770921535398490248863816926211,0.8110516934046346,0.1889483065953654
6,4,106248808417708327813044962299792360640,0.7789661319073083,0.1622103386809269
6,5,111046664896836896858026860298684254312,0.7593582887700535,0.17290552584670232
6,6,187759548773334425360009731649197907368,0.768270944741533,0.17647058823529413
6,7,517837842897691855553657691720021070,0.6827094474153298,0.1532976827094474
6,8,316383478275111578996855836833842070304,0.7664884135472371,0.17647058823529413
6,9,259238564246978947199074192200578377157,0.8021390374331551,0.18538324420677363
7,0,333894663509764513550114901588872559451,0.7532467532467533,0.17965367965367965
7,1,146559355102598814752289656849411582780,0.7965367965367965,0.18181818181818182
7,2,101590021349145610264266742306212143384,0.7424242424242424,0.15584415584415584
7,3,123610421552052403389583572117031317545,0.7922077922077922,0.14935064935064934
7,4,259940576204193663511315882367111585706,0.7575757575757576,0.14285714285714285
7,5,90727853567111429787287505443179998151,0.8441558441558441,0.2012987012987013
7,6,144113224797358045996831561716423846217,0.7835497835497836,0.16233766233766234
7,7,113031134276599029426334826032224394971,0.7705627705627706,0.19696969696969696
7,8,289083463221899257791824125189700794606,0.7770562770562771,0.15151515151515152
7,9,41183156391084599139016313285103540303,0.7186147186147186,0.1774891774891775
8,0,254968016238041534622914746952515389148,0.17290552584670232,0.09982174688057041
8,1,48355917276242394204844878019044418219,0.19429590017825313,0.09982174688057041
8,2,23275395939095267690956940527060103215,0.20320855614973263,0.09982174688057041
8,3,71055807280413141246015429661280268389,0.1746880570409982,0.09982174688057041
8,4,80943318334047144240749145551477868063,0.18538324420677363,0.09982174688057041
8,5,48956850264452913790915203567866088903,0.18181818181818182,0.09982174688057041
8,6,253275305066759814012602346512359196715,0.1586452762923351,0.09982174688057041
8,7,93102687353932896122459654126687925022,0.1800356506238859,0.09982174688057041
8,8,206980886951590936474940331589387976827,0.1746880570409982,0.09982174688057041
8,9,148949568603582373808736191360241117910,0.18538324420677363,0.09982174688057041
9,0,27429923415796813129462012233244593781,0.8912655971479501,0.27629233511586454
9,1,261834743251125951400134416820903530293,0.8841354723707665,0.29590017825311943
9,2,107499502058562287131176780043478717313,0.9090909090909091,0.2994652406417112
9,3,257182070971663968814518834330445721867,0.9269162210338681,0.31016042780748665
9,4,272547959047832316592689533779873713627,0.8698752228163993,0.27807486631016043
9,5,105697391993858400003594081614408424715,0.8538324420677362,0.2887700534759358
9,6,146590346151413827270256121760039027008,0.8877005347593583,0.28342245989304815
9,7,67296102815283586419514792659185549890,0.9037433155080213,0.24420677361853832
9,8,335705543254081152076528256601096682345,0.8805704099821747,0.3172905525846702
9,9,120808563774244513745643615349217267218,0.8734402852049911,0.29233511586452765
10,0,240124016935096538419293261373547763039,0.7950089126559715,0.1586452762923351
10,1,163372266661870726453574712913185497816,0.7718360071301248,0.18538324420677363
10,2,228685926277805454493311061393289652270,0.7540106951871658,0.1836007130124777
10,3,277612296923850731821768292886148992122,0.8110516934046346,0.1889483065953654
10,4,190063964497656836466521111909483117904,0.8199643493761141,0.1800356506238859
10,5,46024248055250887329726725755115807462,0.8698752228163993,0.18538324420677363
10,6,73295117946198071239080677593835676287,0.8128342245989305,0.18181818181818182
10,7,64960311275386386327847100016304871587,0.8306595365418895,0.15508021390374332
10,8,224161440642926105564640942979594487500,0.7593582887700535,0.18538324420677363
10,9,160100864845908284744239574265854825243,0.7896613190730838,0.16399286987522282
11,0,143407608564777798987434594437071523079,0.2554112554112554,0.09956709956709957
11,1,88620841295414422371882729861647737430,0.3008658008658009,0.10173160173160173
11,2,199435013545602144744495775444641028558,0.29653679653679654,0.1038961038961039
11,3,147054591306067468124767681797358107824,0.23160173160173161,0.10173160173160173
11,4,206857039452735110163274685987415283098,0.22294372294372294,0.09956709956709957
